Addresses,Price,Price Type,Rent Estimate,Property Type,Number of Bedrooms,Number of Bathrooms,Square Feet,YTD,Address Link
"Fairgreen Pl, Casselberry, FL 32707","$527,534",Estimated Market Value,$1890/m,Single-Family,4,2,2385, 102%,https://www.foreclosure.com/address/Fairgreen-Pl-Casselberry-FL-32707/60561423_lid
"Clyde Rd, West Palm Beach, FL 33405","$339,888",Estimated Market Value,$1580/m,Single-Family,1,1,894, 104%,https://www.foreclosure.com/address/Clyde-Rd-West-Palm-Beach-FL-33405/60561491_lid
"Ambach Way, Hypoluxo, FL 33462",N/A,N/A,N/A,Townhome,2,2,1243,N/A,https://www.foreclosure.com/address/Ambach-Way-Hypoluxo-FL-33462/60561605_lid
"Alexandra Cir, Wellington, FL 33414","$688,050",Estimated Market Value,$2500/m,Single-Family,4,3,2661, 106%,https://www.foreclosure.com/address/Alexandra-Cir-Wellington-FL-33414/60561657_lid
"Skyridge Cir, Boca Raton, FL 33498","$1,059,184",Estimated Market Value,$3930/m,Single-Family,5,3,3340, 108%,https://www.foreclosure.com/address/Skyridge-Cir-Boca-Raton-FL-33498/60561755_lid
"Nw 16th St # 14, Lauderhill, FL 33313","$240,560",Estimated Market Value,$1241/m,Condo,3,2,1500, 133%,https://www.foreclosure.com/address/Nw-16th-St--14-Lauderhill-FL-33313/60561825_lid
"Club Dr, Palm Beach Gardens, FL 33418","$453,739",Estimated Market Value,$2510/m,Townhome,2,2,1135, 105%,https://www.foreclosure.com/address/Club-Dr-Palm-Beach-Gardens-FL-33418/60560735_lid
"Admiral Way, Oxford, FL 34484","$219,680",Estimated Market Value,$1301/m,N/A,N/A,N/A,N/A, 114%,https://www.foreclosure.com/address/Admiral-Way-Oxford-FL-34484/60557691_lid
"Grand Hilltop Dr, Apopka, FL 32703","$415,813",Estimated Market Value,N/A,N/A,N/A,N/A,N/A, 104%,https://www.foreclosure.com/address/Grand-Hilltop-Dr-Apopka-FL-32703/60559088_lid
"Se 5th Ave, Pompano Beach, FL 33060","$1,131,455",Estimated Market Value,$2180/m,Single-Family,N/A,N/A,2256, 171%,https://www.foreclosure.com/address/Se-5th-Ave-Pompano-Beach-FL-33060/60558077_lid
"54th Ave N, Saint Petersburg, FL 33709","$375,339",Estimated Market Value,$1291/m,Single-Family,N/A,1,1106, 118%,https://www.foreclosure.com/address/54th-Ave-N-Saint-Petersburg-FL-33709/60558214_lid
"Mundell Ave, Sebring, FL 33870","$104,125",Estimated Market Value,$940/m,Single-Family,3,2,1344, 100%,https://www.foreclosure.com/address/Mundell-Ave-Sebring-FL-33870/60558892_lid
"E Windward Way Apt 621, Lantana, FL 33462","$357,093",Estimated Market Value,$1570/m,Condo,2,2,1000, 121%,https://www.foreclosure.com/address/E-Windward-Way-Apt-621-Lantana-FL-33462/60560232_lid
"Plummers Creek Dr, Yulee, FL 32097","$399,350",Estimated Market Value,$1480/m,N/A,N/A,N/A,N/A, 98%,https://www.foreclosure.com/address/Plummers-Creek-Dr-Yulee-FL-32097/60557464_lid
"Arching Branch Cir, Jacksonville, FL 32258","$264,033",Estimated Market Value,$1181/m,Single-Family,2,2.5,1248, 103%,https://www.foreclosure.com/address/Arching-Branch-Cir-Jacksonville-FL-32258/60557485_lid
"Holly Cone Dr, Riverview, FL 33569","$548,954",Estimated Market Value,$2380/m,Single-Family,4,3,3036, 94%,https://www.foreclosure.com/address/Holly-Cone-Dr-Riverview-FL-33569/60559658_lid
"Wisconsin Ave, Palm Harbor, FL 34683","$305,858",Estimated Market Value,$1220/m,Single-Family,N/A,1,852, 99%,https://www.foreclosure.com/address/Wisconsin-Ave-Palm-Harbor-FL-34683/60559759_lid
"W Bellarose St, Tallahassee, FL 32305","$59,585",Estimated Market Value,N/A,Single-Family,N/A,N/A,1152, 104%,https://www.foreclosure.com/address/W-Bellarose-St-Tallahassee-FL-32305/60555291_lid
"Painter Dr, Land O Lakes, FL 34639","$399,937",Estimated Market Value,$1750/m,Single-Family,N/A,2,1743, 101%,https://www.foreclosure.com/address/Painter-Dr-Land-O-Lakes-FL-34639/60555741_lid
"Florence St, Daytona Beach, FL 32114","$206,150",Estimated Market Value,$960/m,Single-Family,3,2,1340, 109%,https://www.foreclosure.com/address/Florence-St-Daytona-Beach-FL-32114/60555835_lid
"Riverside Dr, Holly Hill, FL 32117",N/A,N/A,N/A,Single-Family,4,4.5,2016,N/A,https://www.foreclosure.com/address/Riverside-Dr-Holly-Hill-FL-32117/60555834_lid
"Ronnie Cir, Holly Hill, FL 32117",N/A,N/A,N/A,Single-Family,2,3,1099,N/A,https://www.foreclosure.com/address/Ronnie-Cir-Holly-Hill-FL-32117/60555836_lid
"Travelers Palm Dr, Edgewater, FL 32141","$378,299",Estimated Market Value,$1440/m,Single-Family,3,2.5,1250, 113%,https://www.foreclosure.com/address/Travelers-Palm-Dr-Edgewater-FL-32141/60555837_lid
"Roberts Rd, Tallahassee, FL 32309","$592,476",Estimated Market Value,$2260/m,Single-Family,5,3,2841, 116%,https://www.foreclosure.com/address/Roberts-Rd-Tallahassee-FL-32309/60552391_lid
"S Ocean Dr Apt 15f, Hallandale Beach, FL 33009","$496,320",Estimated Market Value,$2120/m,Condo,2,2,1275, 125%,https://www.foreclosure.com/address/S-Ocean-Dr-Apt-15f-Hallandale-Beach-FL-33009/60549516_lid
"Sw 61st St, Lake Butler, FL 32054","$198,050",Estimated Market Value,N/A,Mobile,4,2,1624, 100%,https://www.foreclosure.com/address/Sw-61st-St-Lake-Butler-FL-32054/60549528_lid
"Cr 533, Sumterville, FL 33585","$183,945",Estimated Market Value,$1160/m,Single-Family,N/A,N/A,1405, 107%,https://www.foreclosure.com/address/Cr-533-Sumterville-FL-33585/60549529_lid
"S Ladera Ter, Inverness, FL 34452","$410,976",Estimated Market Value,$1500/m,Single-Family,4,3,3116, 97%,https://www.foreclosure.com/address/S-Ladera-Ter-Inverness-FL-34452/60549530_lid
"Lovewood Rd, Cottondale, FL 32431","$72,505",Estimated Market Value,$1010/m,Mobile,4,2,1680, 102%,https://www.foreclosure.com/address/Lovewood-Rd-Cottondale-FL-32431/60549533_lid
"Foxbloom Dr, Port Richey, FL 34668","$257,739",Estimated Market Value,$950/m,Single-Family,N/A,2,1457, 101%,https://www.foreclosure.com/address/Foxbloom-Dr-Port-Richey-FL-34668/60549539_lid
"Sedgwick Dr, Wesley Chapel, FL 33543",N/A,N/A,N/A,Single-Family,N/A,2,1401,N/A,https://www.foreclosure.com/address/Sedgwick-Dr-Wesley-Chapel-FL-33543/60549543_lid
"S Forsyth Rd, Orlando, FL 32807","$310,496",Estimated Market Value,$1181/m,Single-Family,3,1,1170, 105%,https://www.foreclosure.com/address/S-Forsyth-Rd-Orlando-FL-32807/60549545_lid
"Skyglade Pl, Wesley Chapel, FL 33543",N/A,N/A,N/A,Single-Family,N/A,2,1810,N/A,https://www.foreclosure.com/address/Skyglade-Pl-Wesley-Chapel-FL-33543/60549552_lid
"Perkins Ave, Coleman, FL 33521",N/A,N/A,N/A,Single-Family,N/A,N/A,1222,N/A,https://www.foreclosure.com/address/Perkins-Ave-Coleman-FL-33521/60549569_lid
"Sw 94th Ct, Miami, FL 33165","$639,326",Estimated Market Value,$2230/m,Single-Family,3,1,1590, 116%,https://www.foreclosure.com/address/Sw-94th-Ct-Miami-FL-33165/60549575_lid
"Fern Cliff Ave, Tampa, FL 33617",N/A,N/A,N/A,Single-Family,4,2,2188,N/A,https://www.foreclosure.com/address/Fern-Cliff-Ave-Tampa-FL-33617/60549591_lid
"Parkridge Dr, Navarre, FL 32566","$462,853",Estimated Market Value,$1710/m,Single-Family,4,2,2285, 107%,https://www.foreclosure.com/address/Parkridge-Dr-Navarre-FL-32566/60549590_lid
"Sw 19th Ave, Cape Coral, FL 33991","$567,028",Estimated Market Value,$2010/m,Single-Family,4,3,2426, 101%,https://www.foreclosure.com/address/Sw-19th-Ave-Cape-Coral-FL-33991/60549595_lid
"Tussilago Way, Orlando, FL 32822",N/A,N/A,N/A,Townhome,3,2,1703,N/A,https://www.foreclosure.com/address/Tussilago-Way-Orlando-FL-32822/60549603_lid
"Tuscan Sun Ave, Riverview, FL 33578",N/A,N/A,N/A,Single-Family,5,3,3326,N/A,https://www.foreclosure.com/address/Tuscan-Sun-Ave-Riverview-FL-33578/60549605_lid
"Cavern Rd, Spring Hill, FL 34609","$328,632",Estimated Market Value,$1220/m,Single-Family,3,2,2047, 118%,https://www.foreclosure.com/address/Cavern-Rd-Spring-Hill-FL-34609/60549613_lid
"N Springfield St, Perry, FL 32347","$188,990",Estimated Market Value,$973/m,Single-Family,N/A,1,1248, 113%,https://www.foreclosure.com/address/N-Springfield-St-Perry-FL-32347/60549616_lid
"Se Petunia Ave, Port Saint Lucie, FL 34952","$311,564",Estimated Market Value,$1311/m,Single-Family,2,2,1218, 110%,https://www.foreclosure.com/address/Se-Petunia-Ave-Port-Saint-Lucie-FL-34952/60549617_lid
"Highgate Ct, Jacksonville, FL 32216","$514,108",Estimated Market Value,$2000/m,Single-Family,4,2,2651, 96%,https://www.foreclosure.com/address/Highgate-Ct-Jacksonville-FL-32216/60549636_lid
"Nw 62nd Ave, Miami, FL 33126","$457,055",Estimated Market Value,$1680/m,Single-Family,2,1,919, 114%,https://www.foreclosure.com/address/Nw-62nd-Ave-Miami-FL-33126/60549640_lid
"Hawthorn Lake Dr # 3221, Fort Myers, FL 33913",N/A,N/A,N/A,Condo,2,2,2284,N/A,https://www.foreclosure.com/address/Hawthorn-Lake-Dr--3221-Fort-Myers-FL-33913/60549646_lid
"Delwood Breck St, Ruskin, FL 33570","$400,526",Estimated Market Value,$1398/m,Single-Family,4,2,2014, 102%,https://www.foreclosure.com/address/Delwood-Breck-St-Ruskin-FL-33570/60549651_lid
"Dove Wing Ct, Orlando, FL 32828","$383,030",Estimated Market Value,$1370/m,Townhome,3,2,1710, 108%,https://www.foreclosure.com/address/Dove-Wing-Ct-Orlando-FL-32828/60549659_lid
"Shan St, Brooksville, FL 34601","$123,250",Estimated Market Value,$870/m,Mobile,3,2,1296, 112%,https://www.foreclosure.com/address/Shan-St-Brooksville-FL-34601/60549664_lid
"Sage Canyon Dr, Riverview, FL 33578",N/A,N/A,N/A,Single-Family,4,2,2635,N/A,https://www.foreclosure.com/address/Sage-Canyon-Dr-Riverview-FL-33578/60549671_lid
"Parkland Ave, Sarasota, FL 34232","$382,848",Estimated Market Value,$1680/m,Multi-Family,2,2,1559, 103%,https://www.foreclosure.com/address/Parkland-Ave-Sarasota-FL-34232/60549672_lid
"Sw 168th Ter, Miami, FL 33177","$637,000",Estimated Market Value,$2050/m,Single-Family,3,1,1917, 119%,https://www.foreclosure.com/address/Sw-168th-Ter-Miami-FL-33177/60549673_lid
"Mosquero Rd, Spring Hill, FL 34606","$285,473",Estimated Market Value,$1072/m,Single-Family,3,2,1624, 109%,https://www.foreclosure.com/address/Mosquero-Rd-Spring-Hill-FL-34606/60549674_lid
"Brewer Cir, Mary Esther, FL 32569","$362,894",Estimated Market Value,$1560/m,Single-Family,3,2,1663, 110%,https://www.foreclosure.com/address/Brewer-Cir-Mary-Esther-FL-32569/60549681_lid
"Se Heritage Ct, Branford, FL 32008","$156,654",Estimated Market Value,N/A,Single-Family,N/A,2,1668, 103%,https://www.foreclosure.com/address/Se-Heritage-Ct-Branford-FL-32008/60549682_lid
"Nw 15th Ave, Cape Coral, FL 33993","$424,241",Estimated Market Value,$1580/m,Single-Family,3,2,1908, 110%,https://www.foreclosure.com/address/Nw-15th-Ave-Cape-Coral-FL-33993/60549684_lid
"Crossback Ln, Lehigh Acres, FL 33936",N/A,N/A,N/A,Townhome,2,2,1359,N/A,https://www.foreclosure.com/address/Crossback-Ln-Lehigh-Acres-FL-33936/60549689_lid
"Horizon Dr, Spring Hill, FL 34608","$289,135",Estimated Market Value,$1080/m,Single-Family,3,2,1542, 110%,https://www.foreclosure.com/address/Horizon-Dr-Spring-Hill-FL-34608/60549685_lid
"Artesa Bell Dr, Riverview, FL 33579","$584,864",Estimated Market Value,$2860/m,Single-Family,5,3,3131, 97%,https://www.foreclosure.com/address/Artesa-Bell-Dr-Riverview-FL-33579/60549690_lid
"Chatham Walk Dr, Ruskin, FL 33570",N/A,N/A,N/A,Single-Family,3,2,1614,N/A,https://www.foreclosure.com/address/Chatham-Walk-Dr-Ruskin-FL-33570/60549695_lid
"Sw 34th Terrace Rd, Ocala, FL 34473","$266,310",Estimated Market Value,$1160/m,Single-Family,3,2,1604, 101%,https://www.foreclosure.com/address/Sw-34th-Terrace-Rd-Ocala-FL-34473/60549700_lid
"Dow Ln, Spring Hill, FL 34609","$353,331",Estimated Market Value,$1301/m,Single-Family,3,2,1972, 103%,https://www.foreclosure.com/address/Dow-Ln-Spring-Hill-FL-34609/60549710_lid
"Lake Dr Nw, Fort Walton Beach, FL 32548","$333,984",Estimated Market Value,$1291/m,Single-Family,3,2,1360, 93%,https://www.foreclosure.com/address/Lake-Dr-Nw-Fort-Walton-Beach-FL-32548/60549712_lid
"Spring Board Dr, Jacksonville, FL 32218","$310,267",Estimated Market Value,$1301/m,Single-Family,3,2,2103, 98%,https://www.foreclosure.com/address/Spring-Board-Dr-Jacksonville-FL-32218/60549723_lid
"Weeping Willow Ct, Cape Coral, FL 33909","$266,658",Estimated Market Value,$1241/m,Townhome,2,2,1313, 107%,https://www.foreclosure.com/address/Weeping-Willow-Ct-Cape-Coral-FL-33909/60549729_lid
"Hamilton Ln, Palm Harbor, FL 34684","$134,300",Estimated Market Value,N/A,Mobile,N/A,2,1232, 99%,https://www.foreclosure.com/address/Hamilton-Ln-Palm-Harbor-FL-34684/60549733_lid
"W River Rd, Inglis, FL 34449","$343,477",Estimated Market Value,$1261/m,Single-Family,2,1,1694, 113%,https://www.foreclosure.com/address/W-River-Rd-Inglis-FL-34449/60549746_lid
"Straw Lake Dr, Brandon, FL 33510","$434,365",Estimated Market Value,$1620/m,Single-Family,4,2,2060, 99%,https://www.foreclosure.com/address/Straw-Lake-Dr-Brandon-FL-33510/60549750_lid
"Oldgate Cir, New Port Richey, FL 34655","$409,630",Estimated Market Value,$1550/m,Single-Family,3,2,1974, 99%,https://www.foreclosure.com/address/Oldgate-Cir-New-Port-Richey-FL-34655/60549755_lid
"Lawrence St, Spring Hill, FL 34609","$299,244",Estimated Market Value,$1160/m,Single-Family,3,2,1598, 92%,https://www.foreclosure.com/address/Lawrence-St-Spring-Hill-FL-34609/60549758_lid
"Shore Dr, Saint Augustine, FL 32086","$298,802",Estimated Market Value,$1220/m,Single-Family,N/A,N/A,1023, 97%,https://www.foreclosure.com/address/Shore-Dr-Saint-Augustine-FL-32086/60549773_lid
"Atwood Dr, Wesley Chapel, FL 33545","$514,990",Estimated Market Value,$2410/m,Single-Family,N/A,3,2410, 104%,https://www.foreclosure.com/address/Atwood-Dr-Wesley-Chapel-FL-33545/60549781_lid
"Water Oak Dr # H302, Port Charlotte, FL 33948",N/A,N/A,N/A,Condo,2,2,936,N/A,https://www.foreclosure.com/address/Water-Oak-Dr--H302-Port-Charlotte-FL-33948/60549789_lid
"Daleview Ave, Lehigh Acres, FL 33936","$375,242",Estimated Market Value,$1378/m,Single-Family,3,2,1705, 103%,https://www.foreclosure.com/address/Daleview-Ave-Lehigh-Acres-FL-33936/60549792_lid
"Hunters Ct, Bonita Springs, FL 34135","$493,822",Estimated Market Value,$2270/m,Townhome,3,2,1487, 121%,https://www.foreclosure.com/address/Hunters-Ct-Bonita-Springs-FL-34135/60549796_lid
"Ashbark Ct, Riverview, FL 33579","$295,991",Estimated Market Value,$1450/m,Townhome,2,2,1293, 103%,https://www.foreclosure.com/address/Ashbark-Ct-Riverview-FL-33579/60549795_lid
"Pauma Ct, Sarasota, FL 34232","$408,374",Estimated Market Value,$1700/m,Single-Family,2,2,1294, 98%,https://www.foreclosure.com/address/Pauma-Ct-Sarasota-FL-34232/60549806_lid
"Cresap St, Brooksville, FL 34613","$269,951",Estimated Market Value,$1160/m,Single-Family,2,2,1661, 101%,https://www.foreclosure.com/address/Cresap-St-Brooksville-FL-34613/60549807_lid
"Nw 194th Ter, Hialeah, FL 33015","$691,585",Estimated Market Value,$2320/m,Townhome,3,2,1705, 154%,https://www.foreclosure.com/address/Nw-194th-Ter-Hialeah-FL-33015/60549810_lid
"Sw 116th Pl, Webster, FL 33597","$212,245",Estimated Market Value,$1100/m,Mobile,N/A,N/A,1152, 132%,https://www.foreclosure.com/address/Sw-116th-Pl-Webster-FL-33597/60549817_lid
"Diantha Way, Brooksville, FL 34604",N/A,N/A,N/A,Land,N/A,N/A,0,N/A,https://www.foreclosure.com/address/Diantha-Way-Brooksville-FL-34604/60549825_lid
"Waters Edge Ln, Havana, FL 32333","$142,715",Estimated Market Value,$1211/m,Land,N/A,N/A,0, 104%,https://www.foreclosure.com/address/Waters-Edge-Ln-Havana-FL-32333/60549830_lid
"Valley Oaks Dr, Marianna, FL 32446","$297,540",Estimated Market Value,$1378/m,Single-Family,4,3,2429, 96%,https://www.foreclosure.com/address/Valley-Oaks-Dr-Marianna-FL-32446/60549838_lid
"Beacon Dr, Sarasota, FL 34232","$261,439",Estimated Market Value,$1230/m,Single-Family,2,1,704, 122%,https://www.foreclosure.com/address/Beacon-Dr-Sarasota-FL-34232/60549842_lid
"Marvelwood Rd, Weeki Wachee, FL 34614",N/A,N/A,N/A,Single-Family,4,3,3128,N/A,https://www.foreclosure.com/address/Marvelwood-Rd-Weeki-Wachee-FL-34614/60549846_lid
"W Southern St, Lecanto, FL 34461","$262,302",Estimated Market Value,N/A,Mobile,4,2,1890, 102%,https://www.foreclosure.com/address/W-Southern-St-Lecanto-FL-34461/60549851_lid
"Sw 88th Ter, Miami, FL 33176","$713,440",Estimated Market Value,$3000/m,Single-Family,4,3,1974, 108%,https://www.foreclosure.com/address/Sw-88th-Ter-Miami-FL-33176/60549852_lid
"Valley Vista Cir, Lakeland, FL 33812","$320,390",Estimated Market Value,$1211/m,Single-Family,3,2,1418, 112%,https://www.foreclosure.com/address/Valley-Vista-Cir-Lakeland-FL-33812/60549860_lid
"W 44th Pl Apt 310, Hialeah, FL 33012",N/A,N/A,N/A,Condo,1,1,808,N/A,https://www.foreclosure.com/address/W-44th-Pl-Apt-310-Hialeah-FL-33012/60549896_lid
"E Fern St, Tampa, FL 33610","$293,535",Estimated Market Value,$1110/m,Single-Family,3,2,1168, 112%,https://www.foreclosure.com/address/E-Fern-St-Tampa-FL-33610/60549901_lid
"Caliquen Dr, Brooksville, FL 34604",N/A,N/A,N/A,Single-Family,3,2,1984,N/A,https://www.foreclosure.com/address/Caliquen-Dr-Brooksville-FL-34604/60549903_lid
"Pelham Ave, Graceville, FL 32440","$91,178",Estimated Market Value,$730/m,Single-Family,3,2,1332, 54%,https://www.foreclosure.com/address/Pelham-Ave-Graceville-FL-32440/60549905_lid
"Washington Ct Apt 607, Miami Beach, FL 33139","$1,061,144",Estimated Market Value,$2520/m,Condo,2,2,1234, 102%,https://www.foreclosure.com/address/Washington-Ct-Apt-607-Miami-Beach-FL-33139/60549913_lid
"Sw 3rd Pl, Cape Coral, FL 33991","$438,052",Estimated Market Value,N/A,Single-Family,3,2,2011, 110%,https://www.foreclosure.com/address/Sw-3rd-Pl-Cape-Coral-FL-33991/60549921_lid
"Magnolia Cir N, Jacksonville, FL 32211","$261,408",Estimated Market Value,$1092/m,Single-Family,4,2,1572, 103%,https://www.foreclosure.com/address/Magnolia-Cir-N-Jacksonville-FL-32211/60549928_lid
"Lewellyn Rd, Lakeland, FL 33810","$337,120",Estimated Market Value,$1301/m,Single-Family,3,2,1327, 91%,https://www.foreclosure.com/address/Lewellyn-Rd-Lakeland-FL-33810/60549930_lid
"House Finch Rd, Weeki Wachee, FL 34614","$356,033",Estimated Market Value,$1211/m,Single-Family,3,2,1955, 107%,https://www.foreclosure.com/address/House-Finch-Rd-Weeki-Wachee-FL-34614/60549935_lid
"Sw 272nd Ln, Homestead, FL 33032",N/A,N/A,N/A,Single-Family,4,2,1799,N/A,https://www.foreclosure.com/address/Sw-272nd-Ln-Homestead-FL-33032/60549938_lid
"Son In Law Rd, Bonifay, FL 32425","$120,650",Estimated Market Value,$820/m,Single-Family,N/A,1,1111, 96%,https://www.foreclosure.com/address/Son-In-Law-Rd-Bonifay-FL-32425/60549955_lid
"Garcia Ct, The Villages, FL 32159","$305,858",Estimated Market Value,$1880/m,Single-Family,N/A,N/A,1094, 103%,https://www.foreclosure.com/address/Garcia-Ct-The-Villages-FL-32159/60549956_lid
"Sage Canyon Dr, Riverview, FL 33578",N/A,N/A,N/A,Single-Family,4,2,1935,N/A,https://www.foreclosure.com/address/Sage-Canyon-Dr-Riverview-FL-33578/60549967_lid
"Goldcup Ct, Port Charlotte, FL 33952","$261,757",Estimated Market Value,$1141/m,Single-Family,2,1,813, 106%,https://www.foreclosure.com/address/Goldcup-Ct-Port-Charlotte-FL-33952/60549970_lid
"Alleghany Ave, Cocoa, FL 32927","$307,033",Estimated Market Value,$1291/m,Single-Family,3,2,1750, 102%,https://www.foreclosure.com/address/Alleghany-Ave-Cocoa-FL-32927/60549972_lid
"Tulane Rd, Venice, FL 34293","$502,459",Estimated Market Value,$1760/m,Single-Family,3,2,1670, 102%,https://www.foreclosure.com/address/Tulane-Rd-Venice-FL-34293/60549975_lid
"N Crystal Ter, Plant City, FL 33563","$266,555",Estimated Market Value,$1110/m,Single-Family,3,2,1496, 115%,https://www.foreclosure.com/address/N-Crystal-Ter-Plant-City-FL-33563/60549985_lid
"Dew Drop Ln, Tampa, FL 33625","$410,310",Estimated Market Value,$1600/m,Single-Family,3,2,2143, 125%,https://www.foreclosure.com/address/Dew-Drop-Ln-Tampa-FL-33625/60549992_lid
"Nw 68th Ter, Doral, FL 33178",N/A,N/A,N/A,Single-Family,5,6,3911,N/A,https://www.foreclosure.com/address/Nw-68th-Ter-Doral-FL-33178/60549998_lid
"Woodlawn Rd, Satsuma, FL 32189","$200,734",Estimated Market Value,$810/m,Single-Family,2,1,973, 185%,https://www.foreclosure.com/address/Woodlawn-Rd-Satsuma-FL-32189/60549997_lid
"Galleon Point Dr, Lehigh Acres, FL 33936",N/A,N/A,N/A,Townhome,2,2,1342,N/A,https://www.foreclosure.com/address/Galleon-Point-Dr-Lehigh-Acres-FL-33936/60550009_lid
"Van Dale Ave, Spring Hill, FL 34608","$326,997",Estimated Market Value,$1171/m,Single-Family,3,2,1626, 110%,https://www.foreclosure.com/address/Van-Dale-Ave-Spring-Hill-FL-34608/60550012_lid
"13th St W, Lehigh Acres, FL 33971","$321,024",Estimated Market Value,$1408/m,Single-Family,3,2,1397, 113%,https://www.foreclosure.com/address/13th-St-W-Lehigh-Acres-FL-33971/60550011_lid
"Nw 51st St, Doral, FL 33178","$801,802",Estimated Market Value,$2990/m,Townhome,3,2,1872, 113%,https://www.foreclosure.com/address/Nw-51st-St-Doral-FL-33178/60550013_lid
